Total,Result,Rohit,Quinton,Surya,Ishan,Krunal,Pollard,Hardik
149,1,15,29,15,23,7,41,16
132,1,4,8,71,28,0,0,13
134,1,55,30,46,0,0,0,0
162,1,24,69,23,0,9,10,18
198,0,12,0,26,0,24,20,91
155,1,67,15,0,0,1,13,23
161,0,5,65,34,0,2,10,23
168,1,30,35,26,0,37,0,32
172,1,28,40,29,21,11,0,37
187,0,47,81,16,5,0,6,28
198,1,0,24,21,7,1,83,19
136,1,11,19,7,17,6,46,14
170,1,13,4,59,0,42,17,25
176,0,32,60,11,18,7,31,10
187,1,48,23,38,0,1,5,32
176,0,14,27,2,0,32,21,0
165,0,15,0,43,40,41,0,22
147,0,11,29,28,9,15,28,9
194,0,18,48,53,44,11,0,2
213,1,94,65,0,0,15,5,17
167,0,10,0,72,58,7,21,4
87,0,2,5,34,0,24,9,3
170,1,56,47,44,0,0,0,13
153,0,0,23,9,0,23,13,50
176,1,24,10,57,25,31,0,23
181,1,11,43,59,0,14,0,35
210,1,36,18,36,62,8,0,19
168,0,0,60,38,12,3,0,36
186,0,6,9,27,20,32,50,9
163,0,13,48,12,5,4,0,27
